"","score","pvalue_low","pvalue_high"
"HSF4",0.643323365981076,0.893,0.106
"IRF7",0.572700708921426,0.866,0.133
"MEF2D",-0.0258933134615551,0.49,0.509
"MEIS1",0.203336784592166,0.755,0.244
"MEIS2",0.578640810139135,0.891,0.108
"MEIS3",0.615770595803158,0.823,0.176
"NFKB1",-1.2585398188794,0.033,0.966
"NFKB2",0.720308592113944,0.888,0.111
"PKNOX2",0.582888159605435,0.776,0.223
"POU2F1",-0.198784641918916,0.342,0.657
"POU6F2",10,10,10
"PROX1",-1.19527366421032,0.063,0.936
"RFX2",-0.117182747711611,0.343,0.656
"SMAD3",-0.887404991447113,0.101,0.898
"RUNX2",-0.725447442939693,0.134,0.865
"MGA",-0.162520063724406,0.254,0.745
"TBX19",-0.195090938853672,0.346,0.653
"BHLHE40",0.333922126546459,0.764,0.235
"CLOCK",0.0174018498060794,0.511,0.488
"HEY1",10,10,10
"MAX",-0.088746907375552,0.444,0.555
"MNT",10,10,10
"OLIG1",0.903302385571462,0.963,0.036
"ATF7",-0.17430947347602,0.334,0.665
"CEBPB",0.688101759628768,0.916,0.083
"CEBPG",-0.394342888563686,0.265,0.734
"CREB3L1",0.303045992979469,0.709,0.29
"TEF",0.502852437832165,0.831,0.169
"XBP1",0.705483179496168,0.842,0.157
"FOXO6",0.062190686618127,0.549,0.451
"RXRB",0.45039646622559,0.789,0.21
"RXRG",-0.841517454865644,0.118,0.881
"TP53",-0.0675672844741068,0.491,0.508
"GMEB2",0.217587026853333,0.675,0.324
"MTF1",-0.167892014637831,0.358,0.641
"ELK1",10,10,10
"HMBOX1",-0.0428850631549957,0.438,0.561
"FOXK1",10,10,10
"HIF1A",-0.202684825740815,0.302,0.697
"NEUROD1",0.520985706633132,0.84,0.159
"NFIC",0.854879660712421,0.97,0.029
"NFYA",-0.859159597659461,0.049,0.95
"NR2F2",-0.584255658178279,0.202,0.797
"PAX5",10,10,10
