beta_0_motif_HC,beta_1_motif_HC,beta_0_motif_aganist,beta_1_motif_aganist,beta_0_motif_HC_all,beta_1_motif_HC_all,beta_0_motif_aganist_all,beta_1_motif_aganist_all,beta0_down_HC,beta0_up_HC,beta1_down_HC,beta1_up_HC,beta0_down_aganist,beta0_up_aganist,beta1_down_aganist,beta1_up_aganist
,,,,,FOXJ3,,ZFAT,,,,,,MYF6,,
,,,,,OSR1,,ZNF7,,,,,,MYOD1,,
,,,,,NKX3-1,,ZFP809,,,,,,MYOG,,
,,,,,NKX3-2,,BSX1,,,,,,TCF3,,
,,,,,NKX2-3,,ISL1,,,,,,TCF4,,
,,,,,NKX2-5,,ISL2,,,,,,TCF12,,
,,,,,NKX2-6,,BARX1,,,,,,ZBTB7A,,
,,,,,BAPX1,,BARX2,,,,,,ZBTB7B,,
,,,,,ISL1,,ZNF263,,,,,,ZBTB7C,,
,,,,,ISL2,,KLF1,,,,,,ZNF768,,
,,,,,NKX6-1,,KLF2,,,,,,TFAP2E,,
,,,,,NKX6-2,,KLF3,,,,,,NF-1,,
,,,,,NKX6-3,,KLF4,,,,,,NFIA,,
,,,,,ZFX,,KLF5,,,,,,NFIX,,
,,,,,MAF,,KLF6,,,,,,NFIC,,
,,,,,MAFA,,KLF7,,,,,,ZNF460,,
,,,,,MAFB,,KLF8,,,,,,MAF,,
,,,,,NRL,,KLF9,,,,,,MAFA,,
,,,,,MAFF,,KLF10,,,,,,MAFB,,
,,,,,MAFG,,KLF11,,,,,,NRL,,
,,,,,MAFK,,KLF12,,,,,,SP1,,
,,,,,,,KLF13,,,,,,SP2,,
,,,,,,,KLF14,,,,,,SP3,,
,,,,,,,KLF15,,,,,,SP4,,
,,,,,,,KLF16,,,,,,SP5,,
,,,,,,,KLF17,,,,,,SP6,,
,,,,,,,TAL1,,,,,,SP7,,
,,,,,,,ZFP410,,,,,,SP8,,
,,,,,,,,,,,,,SP9,,
,,,,,,,,,,,,,SOX4,,
,,,,,,,,,,,,,SOX11,,
,,,,,,,,,,,,,SOX12,,
