"","X","n_genes","n_counts","percent_mito","log10_n_counts","log_n_counts","norm_log_counts","log10_usable_counts","log_usable_counts","leiden","subtype"
"230","X230_R262_T2D_Female_5",6535,707157,0,5.849516,13.4690075,7.062359,4.9166594,11.321026,1,"beta2"
"231","X231_R263_T2D_Male_5",4912,595555,0,5.774922,13.297249,7.7133813,5.1248007,11.80029,1,"beta2"
"232","X232_R263_T2D_Male_10",5156,399529,0,5.601548,12.898041,7.866913,5.018105,11.554615,1,"beta2"
"233","X233_R263_T2D_Male_5",7570,594816,0,5.7743826,13.296007,7.912914,5.2109175,11.998582,1,"beta2"
"234","X234_R263_T2D_Male_1",5893,695802,0,5.842486,13.45282,7.8138504,5.2359977,12.056331,1,"beta2"
"235","X235_R263_T2D_Male_10",7440,722505,0,5.858841,13.490479,7.8740506,5.2784977,12.15419,1,"beta2"
"236","X236_R263_T2D_Male_10",7319,817529,0,5.9125032,13.614041,7.4777694,5.160057,11.881472,1,"beta2"
"237","X237_R263_T2D_Male_10",6955,685633,0,5.8360915,13.438097,7.9146457,5.273379,12.142403,1,"beta2"
"238","X238_R263_T2D_Male_10",7145,458467,0,5.6613083,13.035644,7.6799126,4.9966516,11.505217,1,"beta2"
"239","X239_R263_T2D_Male_5",7124,683542,0,5.8347654,13.435043,7.929708,5.2785935,12.154411,1,"beta2"
"240","X240_R263_T2D_Male_1",7352,686014,0,5.836333,13.438653,7.7357326,5.195919,11.9640465,1,"beta2"
"241","X241_R264_ND_Male_10",5991,509863,0,5.7074537,13.141897,7.7677402,5.0809402,11.699298,1,"beta2"
"242","X242_R264_ND_Male_10",5937,459673,0,5.662449,13.03827,7.6822214,4.9987955,11.510152,1,"beta2"
"243","X243_R264_ND_Male_10",5690,509627,0,5.7072525,13.141434,7.651479,5.0302477,11.582573,1,"beta2"
"244","X244_R264_ND_Male_10",6067,682270,0,5.8339562,13.43318,7.7394266,5.1951466,11.962268,0,"beta1"
"245","X245_R264_ND_Male_10",6563,591246,0,5.771768,13.289987,7.9969034,5.244779,12.0765505,0,"beta1"
"246","X246_R264_ND_Male_10",7347,582011,0,5.764931,13.274244,4.8660607,3.8782344,8.929965,0,"beta1"
"247","X247_R264_ND_Male_5",5972,317822,0,5.502184,12.669247,7.463988,4.7437525,10.9228945,0,"beta1"
"248","X248_R264_ND_Male_10",3686,390920,0,5.5920877,12.876258,8.259435,5.179115,11.925353,1,"beta2"
"249","X249_R269_ND_Male_10",4240,785855,0,5.8953424,13.574528,7.6572413,5.22084,12.021429,0,"beta1"
"250","X250_R269_ND_Male_10",4207,1197503,0,6.0782766,13.995749,7.8645706,5.4938164,12.64998,0,"beta1"
"251","X251_R269_ND_Male_10",3502,727675,0,5.8619375,13.497609,7.9564023,5.317359,12.243671,0,"beta1"
"252","X252_R269_ND_Male_10",4190,1069093,0,6.0290155,13.882321,7.748598,5.394189,12.420579,0,"beta1"
"253","X253_R269_ND_Male_10",3243,333660,0,5.523304,12.717877,7.978017,4.988113,11.485555,1,"beta2"
"254","X254_R269_ND_Male_10",2670,540300,0,5.732635,13.19988,8.03942,5.2241106,12.02896,1,"beta2"
"255","X255_R269_ND_Male_10",4117,361752,0,5.558411,12.798715,7.916308,4.99642,11.504682,0,"beta1"
"256","X256_R269_ND_Male_5",2441,336096,0,5.5264635,12.725152,7.5924287,4.823813,11.107241,0,"beta1"
"257","X257_R269_ND_Male_10",4848,638905,0,5.805436,13.367511,7.5651402,5.0909348,11.722311,0,"beta1"
"258","X258_R269_ND_Male_10",1780,361817,0,5.558489,12.798894,7.9758253,5.022346,11.56438,1,"beta2"
"259","X259_R269_ND_Male_10",4742,712191,0,5.8525963,13.476101,7.7775397,5.230339,12.043302,0,"beta1"
"260","X260_R269_ND_Male_10",4393,894012,0,5.9513435,13.703474,7.9873834,5.42022,12.480517,1,"beta2"
"261","X261_R269_ND_Male_10",4078,575162,0,5.7597904,13.262406,7.871597,5.178381,11.923664,1,"beta2"
"262","X262_R269_ND_Male_10",3574,965568,0,5.9847827,13.780472,7.8910174,5.411808,12.461149,1,"beta2"
"263","X263_R269_ND_Male_5",3437,377311,0,5.5766993,12.840825,8.00426,5.0529056,11.634746,0,"beta1"
"264","X264_R269_ND_Male_10",3631,524833,0,5.7200212,13.170835,7.932803,5.165194,11.893299,1,"beta2"
"265","X265_R269_ND_Male_10",1356,176916,0,5.247767,12.083431,7.272127,4.406012,10.145217,0,"beta1"
"266","X266_R269_ND_Male_10",4285,939137,0,5.9727287,13.752717,7.869376,5.3903556,12.411753,0,"beta1"
"267","X267_R269_ND_Male_10",4064,757047,0,5.8791227,13.537181,7.623843,5.190116,11.950684,0,"beta1"
"268","X268_R269_ND_Male_10",4716,646132,0,5.8103213,13.378758,7.7461514,5.174432,11.914571,0,"beta1"
"269","X269_R269_ND_Male_1",4374,741629,0,5.870187,13.516604,7.8637667,5.285377,12.170031,0,"beta1"
"270","X270_R269_ND_Male_10",3375,649479,0,5.8125653,13.383925,7.747169,5.177118,11.920755,1,"beta2"
"271","X271_R269_ND_Male_10",4715,378016,0,5.5775104,12.842691,7.6198454,4.886767,11.252197,0,"beta1"
"272","X272_R269_ND_Male_10",3675,649184,0,5.812368,13.3834715,7.766551,5.185338,11.939683,0,"beta1"
"273","X273_R269_ND_Male_1",3401,458880,0,5.6616993,13.036544,8.360034,5.2924156,12.186237,0,"beta1"
"274","X274_R269_ND_Male_1",4077,678516,0,5.83156,13.427663,7.8891006,5.257753,12.106424,1,"beta2"
"275","X275_R269_ND_Male_10",3328,458125,0,5.660984,13.034897,8.054628,5.159065,11.879186,1,"beta2"
"276","X276_R269_ND_Male_10",4558,648155,0,5.811679,13.381885,7.763664,5.183395,11.935209,0,"beta1"
"277","X277_R269_ND_Male_10",1842,32558,0,4.5126576,10.390778,8.211974,4.0790725,9.392412,1,"beta2"
"278","X278_R269_ND_Male_1",4166,631359,0,5.8002763,13.35563,7.4497967,5.0356817,11.595086,0,"beta1"
